employee_id,job_title,department,location,salary,hire_date,termination_date,is_active,absence_days,sick_days,vacation_days_taken,bank_hours,overtime_hours,tardiness_count,gender,marital_status,number_of_dependents,education_level,performance_rating,bonus_percentage,shift,contract_type,cost_center,compliance_status,health_plan,email,tenure_years,probation_completed,manager_id,last_promotion_date,last_training_date
EMP_00011,Coordenador de TI,Vendas,São Paulo,5073.16,2024-04-06,,True,0,1,11,125,33,2,Female,Single,1,Masters,4,12.14,Afternoon,Contractor,CC046,Compliant,Basic,emp_00011@company.com,1.23,True,EMP_00145,,2024-10-05
EMP_00012,Analista de Dados,Operações,Fortaleza,5068.54,2014-08-05,,True,1,1,16,161,59,2,Male,Widowed,0,Bachelors,3,9.88,Morning,Permanent,CC030,Compliant,Basic,emp_00012@company.com,10.91,True,EMP_00330,,2023-10-09
EMP_00013,Analista de Dados,Jurídico,São Paulo,6483.92,2011-08-25,,True,2,3,12,-61,14,3,Female,Divorced,1,Bachelors,1,8.82,Morning,Permanent,CC001,Compliant,Standard,emp_00013@company.com,13.86,True,EMP_00473,,
EMP_00014,Coordenador de TI,Financeiro,Curitiba,2173.44,2019-08-14,2019-10-27,False,0,4,16,142,65,3,Female,Married,1,Bachelors,1,8.79,Morning,Contractor,CC009,Compliant,Premium,emp_00014@company.com,5.88,True,EMP_00270,2023-02-18,
EMP_00015,Diretor de Operações,Financeiro,Fortaleza,2550.16,2022-09-04,,True,0,5,8,56,0,6,Female,Divorced,2,Bachelors,1,8.24,Morning,Permanent,CC044,Compliant,Basic,emp_00015@company.com,2.82,True,EMP_00528,,2024-07-02
EMP_00016,Estagiário,Financeiro,Belo Horizonte,4875.42,2021-01-18,,True,2,3,20,-32,95,6,Female,Married,2,Masters,4,13.34,Night,Permanent,CC011,Compliant,Basic,emp_00016@company.com,4.45,True,EMP_00197,,2025-02-04
EMP_00017,Analista Financeiro,Financeiro,Rio de Janeiro,3974.34,2012-12-09,,True,2,0,18,8,91,4,Male,Married,0,Bachelors,2,4.88,Morning,Permanent,CC013,Compliant,Premium,emp_00017@company.com,12.56,True,EMP_00657,2017-07-08,2023-10-29
EMP_00018,Consultor de BI,Financeiro,São Paulo,6628.49,2014-06-24,,True,1,2,14,171,74,7,Female,Single,1,Bachelors,5,22.82,Morning,Contractor,CC008,Compliant,Premium,emp_00018@company.com,11.02,True,EMP_00515,,
EMP_00019,Gerente de RH,Vendas,Fortaleza,4183.95,2010-09-29,,True,2,1,15,171,48,10,Male,Single,1,Masters,4,4.0,Morning,Permanent,CC016,Compliant,Standard,emp_00019@company.com,14.76,True,EMP_00414,2015-03-25,2024-06-28
EMP_00020,Auxiliar Administrativo,Marketing,Belo Horizonte,3175.39,2020-10-17,,True,1,5,10,178,36,6,Male,Divorced,1,High School,1,5.97,Afternoon,Permanent,CC002,Compliant,Basic,emp_00020@company.com,4.7,True,EMP_00190,2023-09-06,2024-02-22
EMP_00021,Estagiário,Operações,Curitiba,8931.3,2021-02-16,,True,1,5,17,164,17,5,Female,Divorced,1,High School,2,14.87,Afternoon,Permanent,CC033,Compliant,Standard,emp_00021@company.com,4.37,True,EMP_00347,2024-04-04,2024-07-09
EMP_00022,Analista Financeiro,Recursos Humanos,Fortaleza,5548.45,2014-02-15,,True,2,5,17,161,91,8,Male,Single,2,Masters,5,14.19,Morning,Permanent,CC005,Compliant,Premium,emp_00022@company.com,11.38,True,EMP_00413,2024-08-17,2025-05-21
EMP_00023,Auxiliar Administrativo,Jurídico,Belo Horizonte,6135.06,2022-02-05,,True,3,2,14,-52,34,4,Female,Widowed,1,Bachelors,3,0.09,Morning,Temporary,CC029,Compliant,Standard,emp_00023@company.com,3.4,True,EMP_00313,2023-11-02,
EMP_00024,Diretor de Operações,Jurídico,Curitiba,3150.5,2014-12-17,,True,4,3,14,76,99,3,Female,Divorced,0,High School,3,6.09,Morning,Permanent,CC040,Compliant,Standard,emp_00024@company.com,10.54,True,EMP_00081,,
EMP_00025,Coordenador de TI,Jurídico,Curitiba,4911.23,2010-07-12,2011-01-01,False,1,2,13,-77,8,3,Male,Single,0,Masters,1,16.72,Morning,Permanent,CC013,Compliant,Standard,emp_00025@company.com,14.98,True,EMP_00020,,2025-06-03
EMP_00026,Coordenador de TI,Operações,Salvador,6221.85,2011-05-23,2011-10-29,False,3,1,15,-87,67,5,Female,Widowed,1,High School,1,18.68,Afternoon,Permanent,CC008,Compliant,Basic,emp_00026@company.com,14.12,True,EMP_00911,,2024-03-23
EMP_00027,Analista de Dados,Marketing,Fortaleza,3698.01,2013-03-07,,True,2,5,13,73,18,1,Female,Widowed,1,Bachelors,5,9.22,Morning,Permanent,CC005,Compliant,Basic,emp_00027@company.com,12.32,True,EMP_00287,,
EMP_00028,Desenvolvedor Python,Operações,São Paulo,6751.4,2023-12-18,,True,2,4,19,16,81,5,Male,Married,1,High School,4,9.16,Morning,Permanent,CC046,Compliant,Basic,emp_00028@company.com,1.53,True,EMP_00301,2025-05-07,2025-02-06
EMP_00029,Analista de Dados,Vendas,Belo Horizonte,4798.72,2019-08-24,,True,4,2,15,173,45,0,Female,Married,2,Bachelors,5,4.35,Morning,Permanent,CC010,Compliant,Premium,emp_00029@company.com,5.85,True,EMP_00502,2024-03-02,
EMP_00030,Coordenador de TI,Jurídico,Salvador,5416.61,2020-12-13,,True,1,5,16,197,89,4,Female,Single,1,Bachelors,3,20.57,Afternoon,Permanent,CC022,Compliant,Basic,emp_00030@company.com,4.55,True,EMP_00925,,2025-05-28
EMP_00031,Coordenador de TI,Financeiro,Fortaleza,4796.59,2019-09-11,,True,3,1,13,122,41,1,Female,Divorced,1,High School,1,8.12,Morning,Permanent,CC011,Compliant,Basic,emp_00031@company.com,5.81,True,EMP_00282,,2023-07-08
EMP_00032,Analista de Dados,Vendas,Belo Horizonte,9704.56,2022-07-04,,True,2,4,19,131,3,7,Female,Single,2,High School,5,9.25,Morning,Permanent,CC038,Compliant,Basic,emp_00032@company.com,2.99,True,EMP_00454,,2024-03-04
EMP_00033,Coordenador de TI,Jurídico,São Paulo,5973.01,2014-07-17,,True,1,3,15,2,6,3,Female,Widowed,0,High School,3,15.22,Morning,Permanent,CC039,Compliant,Premium,emp_00033@company.com,10.96,True,EMP_00643,,
EMP_00034,Diretor de Operações,Vendas,Fortaleza,3884.58,2015-11-06,,True,0,2,13,113,4,7,Male,Widowed,0,High School,3,9.97,Morning,Permanent,CC048,Non-Compliant,Basic,emp_00034@company.com,9.65,True,EMP_00180,2019-05-27,
EMP_00035,Auxiliar Administrativo,Operações,São Paulo,7645.09,2022-05-29,,True,3,3,14,14,80,4,Female,Widowed,0,High School,2,9.84,Morning,Permanent,CC032,Compliant,Premium,emp_00035@company.com,3.09,True,EMP_00942,,
EMP_00036,Analista de Dados,Vendas,Rio de Janeiro,3558.31,2021-08-04,,True,4,3,21,25,21,3,Male,Divorced,0,Masters,3,1.74,Afternoon,Temporary,CC009,Compliant,Standard,emp_00036@company.com,3.91,True,EMP_00710,,2024-12-03
EMP_00037,Estagiário,TI,Curitiba,6417.73,2020-05-31,,True,3,1,10,107,44,6,Male,Married,2,Bachelors,1,14.66,Morning,Permanent,CC040,Non-Compliant,Standard,emp_00037@company.com,5.08,True,EMP_00916,,2024-12-03
EMP_00038,Estagiário,Marketing,Belo Horizonte,2080.66,2020-06-30,,True,2,4,9,154,61,6,Male,Widowed,0,High School,2,5.86,Afternoon,Contractor,CC007,Compliant,Basic,emp_00038@company.com,5.0,True,EMP_00343,,
EMP_00039,Desenvolvedor Python,Marketing,Fortaleza,3343.63,2015-02-09,,True,2,3,16,-65,65,10,Male,Widowed,4,Masters,1,3.0,Morning,Permanent,CC011,Compliant,Premium,emp_00039@company.com,10.39,True,EMP_00737,2021-03-11,2024-01-07
EMP_00040,Auxiliar Administrativo,Operações,Rio de Janeiro,6393.72,2020-10-19,,True,5,5,15,-15,93,6,Male,Single,0,Bachelors,3,6.38,Afternoon,Permanent,CC021,Compliant,Basic,emp_00040@company.com,4.7,True,EMP_00220,,2024-05-10
EMP_00041,Gerente de RH,Vendas,Curitiba,7476.93,2018-02-21,,True,2,2,8,123,14,5,Male,Widowed,2,Bachelors,1,7.33,Morning,Permanent,CC010,Compliant,Standard,emp_00041@company.com,7.36,True,EMP_00742,2023-04-17,
EMP_00042,Gerente de RH,Financeiro,Salvador,6342.74,2021-07-14,,True,1,6,14,106,47,9,Male,Single,0,PhD,1,11.05,Morning,Contractor,CC008,Compliant,Basic,emp_00042@company.com,3.96,True,EMP_00356,2024-01-11,2025-06-28
EMP_00043,Diretor de Operações,Financeiro,Salvador,5768.7,2012-04-26,,True,2,4,18,-34,18,5,Male,Single,2,High School,4,7.1,Morning,Contractor,CC039,Compliant,Standard,emp_00043@company.com,13.19,True,EMP_00742,,2024-02-25
EMP_00044,Auxiliar Administrativo,Financeiro,Rio de Janeiro,5397.79,2012-08-16,,True,3,5,18,-73,46,5,Female,Widowed,2,Bachelors,1,1.55,Afternoon,Permanent,CC034,Compliant,Premium,emp_00044@company.com,12.88,True,EMP_00171,,2024-01-04
EMP_00045,Estagiário,Recursos Humanos,Curitiba,3042.96,2017-12-13,,True,1,2,18,115,89,7,Female,Married,4,High School,2,13.25,Morning,Permanent,CC050,Compliant,Standard,emp_00045@company.com,7.55,True,EMP_00735,2020-11-12,2024-06-28
EMP_00046,Gerente de RH,Vendas,Fortaleza,4560.31,2024-03-10,,True,1,2,9,-64,92,6,Female,Single,2,Bachelors,2,5.08,Morning,Temporary,CC047,Compliant,Basic,emp_00046@company.com,1.31,True,EMP_00711,,2023-12-09
EMP_00047,Analista de Dados,Financeiro,Rio de Janeiro,5078.72,2013-01-02,2025-05-26,False,3,1,17,1,19,3,Male,Divorced,0,Bachelors,2,1.14,Morning,Permanent,CC014,Compliant,Basic,emp_00047@company.com,12.5,True,EMP_00494,2024-05-15,
EMP_00048,Estagiário,Vendas,Rio de Janeiro,8114.24,2018-06-19,,True,4,2,23,-46,13,5,Female,Divorced,0,Bachelors,4,8.14,Morning,Permanent,CC044,Compliant,Basic,emp_00048@company.com,7.04,True,EMP_00272,2021-12-04,2025-02-16
EMP_00049,Auxiliar Administrativo,Marketing,Fortaleza,6687.24,2012-11-18,,True,1,5,14,-74,62,3,Female,Married,4,Bachelors,3,8.05,Morning,Permanent,CC009,Compliant,Standard,emp_00049@company.com,12.62,True,EMP_00199,,2025-02-18
EMP_00050,Consultor de BI,TI,São Paulo,2473.92,2024-06-17,2024-07-30,False,5,7,20,70,40,7,Female,Divorced,1,Bachelors,3,3.3,Morning,Permanent,CC031,Compliant,Basic,emp_00050@company.com,1.04,True,EMP_00189,,
EMP_00051,Coordenador de TI,Jurídico,Fortaleza,6648.17,2017-07-16,,True,0,3,19,42,30,2,Female,Married,3,Bachelors,4,3.45,Morning,Permanent,CC023,Compliant,Basic,emp_00051@company.com,7.96,True,EMP_00856,,2025-04-06
EMP_00052,Analista de Dados,Jurídico,Curitiba,5229.84,2014-09-26,,True,3,2,10,-87,2,3,Female,Single,2,Masters,5,4.61,Morning,Contractor,CC027,Compliant,Premium,emp_00052@company.com,10.77,True,EMP_00788,2016-02-04,2023-10-14
EMP_00053,Gerente de RH,Operações,Porto Alegre,4646.16,2015-06-15,,True,1,2,17,-1,100,6,Female,Single,1,Bachelors,2,8.62,Night,Permanent,CC003,Compliant,Basic,emp_00053@company.com,10.05,True,EMP_00370,,
EMP_00054,Analista de Dados,Jurídico,Porto Alegre,7223.35,2023-06-19,,True,1,5,16,7,5,7,Female,Single,1,PhD,1,11.96,Morning,Permanent,CC027,Compliant,Basic,emp_00054@company.com,2.03,True,EMP_00727,2024-07-21,2025-01-02
EMP_00055,Analista Financeiro,Marketing,São Paulo,8062.0,2020-10-03,,True,4,3,16,143,95,7,Male,Widowed,1,Bachelors,2,12.21,Morning,Permanent,CC004,Compliant,Standard,emp_00055@company.com,4.74,True,EMP_00189,2024-12-07,2024-06-19
EMP_00056,Gerente de RH,Operações,Salvador,7862.56,2013-07-21,,True,3,2,14,60,76,5,Female,Divorced,2,High School,3,17.69,Morning,Contractor,CC014,Compliant,Standard,emp_00056@company.com,11.95,True,EMP_00179,,2025-05-30
EMP_00057,Analista de Dados,Financeiro,Salvador,4321.56,2014-11-08,,True,1,8,14,-34,53,4,Male,Widowed,1,Masters,1,0.0,Morning,Permanent,CC016,Compliant,Standard,emp_00057@company.com,10.65,True,EMP_00080,2023-03-15,2025-06-20
EMP_00058,Estagiário,Marketing,Belo Horizonte,5381.58,2014-10-11,,True,0,8,13,-56,8,4,Female,Single,1,High School,3,6.62,Afternoon,Permanent,CC020,Compliant,Basic,emp_00058@company.com,10.73,True,EMP_00332,2022-12-26,2024-06-09
EMP_00059,Desenvolvedor Python,Marketing,Salvador,6662.53,2021-12-30,2024-11-05,False,2,3,11,144,38,6,Male,Widowed,1,High School,3,11.14,Night,Temporary,CC031,Compliant,Basic,emp_00059@company.com,3.5,True,EMP_00588,2023-09-27,2023-09-17
EMP_00060,Coordenador de TI,TI,Porto Alegre,7951.09,2013-07-11,,True,1,2,11,30,23,5,Female,Divorced,0,Bachelors,4,2.48,Night,Permanent,CC049,Compliant,Basic,emp_00060@company.com,11.98,True,EMP_00835,2022-11-17,2025-04-15
EMP_00061,Diretor de Operações,TI,Porto Alegre,5041.65,2020-03-29,2025-01-08,False,2,3,12,139,27,3,Male,Divorced,1,Masters,1,10.59,Afternoon,Permanent,CC018,Compliant,Standard,emp_00061@company.com,5.26,True,EMP_00667,,2024-10-15
EMP_00062,Coordenador de TI,Vendas,Fortaleza,5628.68,2015-02-18,,True,1,6,20,186,82,4,Male,Single,0,Bachelors,1,12.39,Morning,Permanent,CC027,Compliant,Standard,emp_00062@company.com,10.37,True,EMP_00091,2022-09-08,2024-05-07
EMP_00063,Diretor de Operações,Financeiro,Fortaleza,3787.33,2019-09-08,,True,1,0,20,-1,74,2,Male,Widowed,0,Bachelors,5,10.29,Afternoon,Contractor,CC048,Compliant,Basic,emp_00063@company.com,5.81,True,EMP_00931,2023-12-16,2023-09-25
EMP_00064,Analista de Dados,Recursos Humanos,Belo Horizonte,3607.59,2017-05-21,,True,1,2,17,123,89,11,Male,Married,0,High School,4,9.19,Afternoon,Permanent,CC047,Compliant,Basic,emp_00064@company.com,8.12,True,EMP_00722,2020-11-04,
EMP_00065,Coordenador de TI,Marketing,São Paulo,7625.05,2011-09-25,2014-12-15,False,3,1,14,133,68,8,Female,Widowed,0,Masters,3,15.94,Morning,Permanent,CC015,Compliant,Standard,emp_00065@company.com,13.77,True,EMP_00948,,2023-11-30
EMP_00066,Gerente de RH,Marketing,Belo Horizonte,8712.48,2020-06-14,2023-06-29,False,0,4,11,-38,66,6,Female,Single,0,Masters,2,8.66,Morning,Permanent,CC010,Compliant,Standard,emp_00066@company.com,5.05,True,EMP_00135,2024-03-20,2024-01-31
EMP_00067,Estagiário,Recursos Humanos,Rio de Janeiro,5855.98,2022-10-06,,True,3,2,9,83,96,1,Male,Widowed,1,Bachelors,1,10.37,Morning,Temporary,CC050,Compliant,Basic,emp_00067@company.com,2.73,True,EMP_00397,2023-11-23,
EMP_00068,Desenvolvedor Python,Vendas,Rio de Janeiro,8007.07,2022-02-07,,True,4,6,14,-73,63,4,Other,Single,0,High School,4,10.94,Morning,Permanent,CC010,Compliant,Premium,emp_00068@company.com,3.39,True,EMP_00213,,2024-06-12
EMP_00069,Diretor de Operações,Recursos Humanos,Curitiba,6723.27,2021-04-11,2022-09-05,False,1,2,25,92,14,2,Male,Single,2,High School,2,12.12,Morning,Permanent,CC034,Compliant,Basic,emp_00069@company.com,4.22,True,EMP_00747,2023-03-04,2024-11-28
EMP_00070,Diretor de Operações,TI,Curitiba,4709.76,2010-08-11,,True,5,3,13,186,7,2,Male,Divorced,0,High School,4,12.98,Afternoon,Permanent,CC033,Compliant,Standard,emp_00070@company.com,14.9,True,EMP_00507,,2024-07-08
EMP_00071,Desenvolvedor Python,Recursos Humanos,Fortaleza,6722.79,2012-04-18,,True,3,0,11,29,50,4,Male,Single,3,Bachelors,2,2.0,Morning,Permanent,CC022,Compliant,Basic,emp_00071@company.com,13.21,True,EMP_00650,2014-09-20,
EMP_00072,Auxiliar Administrativo,Operações,Curitiba,9076.07,2023-05-16,2024-05-25,False,1,3,15,174,19,3,Female,Divorced,0,Masters,1,4.9,Morning,Permanent,CC049,Compliant,Basic,emp_00072@company.com,2.13,True,EMP_00120,2025-03-16,
EMP_00073,Diretor de Operações,Recursos Humanos,Curitiba,5928.35,2010-02-08,2010-06-23,False,0,2,17,21,77,5,Female,Divorced,0,High School,5,4.91,Morning,Permanent,CC041,Compliant,Standard,emp_00073@company.com,15.4,True,EMP_00059,,
EMP_00074,Analista de Dados,TI,Belo Horizonte,9129.29,2014-11-30,,True,2,5,12,54,30,4,Male,Divorced,0,Masters,5,10.22,Afternoon,Permanent,CC039,Compliant,Basic,emp_00074@company.com,10.59,True,EMP_00297,,2024-02-11
EMP_00075,Coordenador de TI,TI,Salvador,1500.0,2012-02-10,,True,1,3,13,-93,50,3,Female,Single,0,High School,4,2.26,Afternoon,Permanent,CC041,Compliant,Standard,emp_00075@company.com,13.39,True,EMP_00067,,2024-03-30
EMP_00076,Consultor de BI,Operações,Belo Horizonte,7643.81,2018-02-22,,True,1,3,10,125,45,4,Female,Widowed,2,Bachelors,4,8.1,Morning,Permanent,CC042,Compliant,Basic,emp_00076@company.com,7.36,True,EMP_00279,,2024-08-12
EMP_00077,Engenheiro de Dados,Jurídico,Belo Horizonte,6174.09,2019-02-17,,True,1,2,22,-55,13,6,Male,Single,2,Bachelors,3,5.54,Morning,Permanent,CC020,Compliant,Premium,emp_00077@company.com,6.37,True,EMP_00548,2024-03-03,2024-07-02
EMP_00078,Consultor de BI,TI,Curitiba,5401.99,2016-08-29,,True,6,2,10,144,33,11,Male,Widowed,0,Masters,3,4.95,Morning,Permanent,CC008,Compliant,Basic,emp_00078@company.com,8.84,True,EMP_00858,2023-09-06,2023-11-16
EMP_00079,Desenvolvedor Python,Marketing,São Paulo,6183.52,2023-12-24,,True,1,4,12,-1,94,5,Male,Divorced,2,Bachelors,1,10.13,Morning,Permanent,CC048,Compliant,Basic,emp_00079@company.com,1.52,True,EMP_00730,,
EMP_00080,Desenvolvedor Python,Vendas,São Paulo,2024.86,2011-12-06,2025-02-09,False,0,4,12,81,98,5,Male,Divorced,1,Bachelors,4,4.2,Morning,Permanent,CC003,Compliant,Basic,emp_00080@company.com,13.58,True,EMP_00372,,2024-07-18
EMP_00081,Estagiário,Vendas,Porto Alegre,5560.66,2022-10-22,,True,0,0,13,55,12,7,Female,Widowed,2,Bachelors,1,9.63,Morning,Contractor,CC031,Non-Compliant,Basic,emp_00081@company.com,2.69,True,EMP_00107,2024-08-17,
EMP_00082,Analista de Dados,TI,Belo Horizonte,6714.23,2020-04-08,,True,5,5,10,-25,2,3,Female,Single,2,High School,3,3.9,Morning,Permanent,CC050,Compliant,Basic,emp_00082@company.com,5.23,True,EMP_00518,2023-10-24,2023-10-21
EMP_00083,Analista de Dados,Operações,Salvador,8955.79,2021-07-05,,True,1,3,17,113,41,2,Male,Widowed,0,Masters,3,15.73,Afternoon,Permanent,CC042,Compliant,Basic,emp_00083@company.com,3.99,True,EMP_00049,2023-12-26,2025-05-23
EMP_00084,Diretor de Operações,Jurídico,Belo Horizonte,4963.46,2023-04-29,,True,0,5,16,58,33,13,Female,Single,2,High School,2,8.35,Morning,Permanent,CC006,Compliant,Standard,emp_00084@company.com,2.17,True,EMP_00864,,
EMP_00085,Diretor de Operações,TI,Porto Alegre,4383.01,2013-04-25,,True,1,5,16,128,63,6,Male,Married,0,Bachelors,4,9.01,Morning,Permanent,CC042,Compliant,Basic,emp_00085@company.com,12.19,True,EMP_00823,,
EMP_00086,Coordenador de TI,TI,Salvador,4996.49,2012-02-03,,True,2,2,17,66,57,7,Female,Single,1,High School,4,16.97,Morning,Permanent,CC030,Non-Compliant,Basic,emp_00086@company.com,13.41,True,EMP_00277,,
EMP_00087,Analista Financeiro,Vendas,Porto Alegre,7830.8,2010-12-18,,True,1,1,22,-28,39,5,Female,Single,0,Bachelors,1,13.13,Night,Permanent,CC001,Compliant,Basic,emp_00087@company.com,14.54,True,EMP_00088,2018-08-27,2025-02-05
EMP_00088,Engenheiro de Dados,Jurídico,Porto Alegre,6657.5,2010-10-03,,True,4,2,11,28,12,4,Other,Divorced,0,Bachelors,4,16.08,Morning,Permanent,CC045,Non-Compliant,Standard,emp_00088@company.com,14.75,True,EMP_00619,,
EMP_00089,Gerente de RH,Vendas,Curitiba,4940.48,2019-09-26,,True,8,1,8,87,2,1,Female,Divorced,0,Bachelors,4,10.11,Afternoon,Permanent,CC013,Non-Compliant,Premium,emp_00089@company.com,5.76,True,EMP_00179,,
EMP_00090,Coordenador de TI,Recursos Humanos,São Paulo,7026.53,2010-10-10,2012-01-20,False,2,6,22,76,14,8,Female,Single,0,Masters,3,10.94,Afternoon,Permanent,CC045,Compliant,Basic,emp_00090@company.com,14.73,True,EMP_00262,2020-02-28,
EMP_00091,Analista de Dados,TI,São Paulo,6194.16,2020-01-16,,True,3,5,16,13,48,5,Male,Married,0,High School,3,7.14,Night,Temporary,CC008,Compliant,Basic,emp_00091@company.com,5.46,True,EMP_00934,,2023-11-02
EMP_00092,Engenheiro de Dados,Financeiro,Porto Alegre,7937.29,2017-10-05,,True,1,5,13,78,83,5,Male,Divorced,3,Masters,3,4.5,Morning,Contractor,CC008,Compliant,Basic,emp_00092@company.com,7.74,True,EMP_00521,,2023-12-13
EMP_00093,Gerente de RH,Financeiro,Porto Alegre,4595.89,2014-09-15,,True,0,0,17,-18,87,5,Female,Widowed,1,Masters,4,10.01,Afternoon,Permanent,CC023,Compliant,Basic,emp_00093@company.com,10.8,True,EMP_00182,,
EMP_00094,Consultor de BI,Jurídico,Porto Alegre,5344.68,2010-11-15,,True,1,4,9,-12,57,5,Male,Single,0,Masters,5,12.82,Morning,Permanent,CC011,Compliant,Standard,emp_00094@company.com,14.63,True,EMP_00764,,2024-03-10
EMP_00095,Analista de Dados,Jurídico,Rio de Janeiro,5215.78,2011-12-26,,True,1,4,18,-99,39,6,Female,Divorced,0,Bachelors,3,11.74,Morning,Permanent,CC002,Compliant,Basic,emp_00095@company.com,13.52,True,EMP_00096,2020-04-02,2024-11-09
EMP_00096,Consultor de BI,TI,Salvador,3072.97,2022-06-30,,True,4,0,9,158,83,2,Male,Widowed,1,High School,4,13.71,Morning,Permanent,CC035,Compliant,Standard,emp_00096@company.com,3.0,True,EMP_00507,2023-10-22,2024-11-27
EMP_00097,Analista Financeiro,Recursos Humanos,Belo Horizonte,6592.24,2014-07-27,,True,1,5,16,-98,24,6,Female,Divorced,0,High School,5,7.5,Morning,Permanent,CC044,Compliant,Standard,emp_00097@company.com,10.93,True,EMP_00290,,2024-01-25
EMP_00098,Desenvolvedor Python,Recursos Humanos,São Paulo,6522.11,2022-03-29,2023-07-14,False,2,4,14,100,31,7,Female,Single,0,Bachelors,4,7.85,Morning,Permanent,CC024,Non-Compliant,Standard,emp_00098@company.com,3.26,True,EMP_00538,,2024-08-02
EMP_00099,Diretor de Operações,TI,Rio de Janeiro,6010.23,2020-12-01,2022-06-27,False,1,4,23,70,21,4,Female,Single,3,Bachelors,2,6.49,Morning,Permanent,CC031,Compliant,Premium,emp_00099@company.com,4.58,True,EMP_00329,,2023-08-19
EMP_00100,Analista de Dados,Marketing,São Paulo,5530.83,2020-05-15,,True,1,4,19,15,91,3,Male,Married,1,Bachelors,3,7.98,Night,Permanent,CC003,Compliant,Premium,emp_00100@company.com,5.13,True,EMP_00439,2021-09-10,2025-04-28
EMP_00101,Coordenador de TI,Vendas,Porto Alegre,3169.26,2018-12-05,,True,2,6,15,-20,4,3,Female,Widowed,0,Bachelors,3,14.16,Morning,Contractor,CC050,Non-Compliant,Basic,emp_00101@company.com,6.57,True,EMP_00950,2023-02-08,2024-11-06
EMP_00102,Coordenador de TI,Operações,Belo Horizonte,5158.71,2018-12-06,,True,2,4,14,75,26,4,Female,Divorced,0,Bachelors,3,12.56,Morning,Permanent,CC037,Compliant,Basic,emp_00102@company.com,6.57,True,EMP_00429,,
EMP_00103,Coordenador de TI,Recursos Humanos,Rio de Janeiro,5314.57,2024-03-21,,True,4,3,11,130,31,5,Female,Divorced,0,High School,2,8.63,Morning,Permanent,CC011,Compliant,Standard,emp_00103@company.com,1.28,True,EMP_00745,2025-05-22,2025-01-06
EMP_00104,Consultor de BI,Jurídico,Fortaleza,4395.45,2014-03-05,,True,1,1,17,-69,25,6,Male,Married,0,Masters,1,4.29,Afternoon,Permanent,CC042,Compliant,Basic,emp_00104@company.com,11.33,True,EMP_00538,,
