employee_id,gender,marital_status,number_of_dependents,education_level,email
EMP_00368,Female,Widowed,0,Bachelors,emp_00368@company.com
EMP_00369,Other,Single,2,High School,emp_00369@company.com
EMP_00370,Male,Married,1,High School,emp_00370@company.com
EMP_00371,Male,Divorced,1,High School,emp_00371@company.com
EMP_00372,Male,Single,0,Bachelors,emp_00372@company.com
EMP_00373,Female,Widowed,0,High School,emp_00373@company.com
EMP_00374,Male,Widowed,0,High School,emp_00374@company.com
EMP_00375,Other,Widowed,2,High School,emp_00375@company.com
EMP_00376,Female,Widowed,1,Bachelors,emp_00376@company.com
EMP_00377,Male,Married,0,Masters,emp_00377@company.com
EMP_00378,Male,Divorced,1,Masters,emp_00378@company.com
EMP_00379,Female,Married,2,Masters,emp_00379@company.com
EMP_00380,Male,Married,1,Bachelors,emp_00380@company.com
EMP_00381,Other,Married,1,Masters,emp_00381@company.com
EMP_00382,Other,Married,2,Bachelors,emp_00382@company.com
EMP_00383,Male,Single,1,Masters,emp_00383@company.com
EMP_00384,Female,Divorced,2,High School,emp_00384@company.com
EMP_00385,Female,Married,2,Bachelors,emp_00385@company.com
EMP_00386,Male,Divorced,0,Bachelors,emp_00386@company.com
EMP_00387,Male,Widowed,1,Bachelors,emp_00387@company.com
EMP_00388,Male,Married,0,Bachelors,emp_00388@company.com
EMP_00389,Female,Single,0,PhD,emp_00389@company.com
EMP_00390,Male,Divorced,1,Bachelors,emp_00390@company.com
EMP_00391,Female,Married,1,Bachelors,emp_00391@company.com
EMP_00392,Female,Single,2,Bachelors,emp_00392@company.com
EMP_00393,Male,Widowed,1,High School,emp_00393@company.com
EMP_00394,Female,Single,2,Bachelors,emp_00394@company.com
EMP_00395,Female,Single,2,High School,emp_00395@company.com
EMP_00396,Other,Divorced,0,Masters,emp_00396@company.com
EMP_00397,Male,Single,3,Masters,emp_00397@company.com
EMP_00398,Male,Married,2,Bachelors,emp_00398@company.com
EMP_00399,Male,Widowed,1,Bachelors,emp_00399@company.com
EMP_00400,Male,Widowed,0,Bachelors,emp_00400@company.com
EMP_00401,Male,Widowed,1,Bachelors,emp_00401@company.com
EMP_00402,Male,Single,4,Bachelors,emp_00402@company.com
EMP_00403,Female,Single,1,Bachelors,emp_00403@company.com
EMP_00404,Female,Single,1,Bachelors,emp_00404@company.com
EMP_00405,Female,Single,2,Bachelors,emp_00405@company.com
EMP_00406,Male,Married,0,Bachelors,emp_00406@company.com
EMP_00407,Female,Widowed,2,High School,emp_00407@company.com
EMP_00408,Female,Married,1,Bachelors,emp_00408@company.com
EMP_00409,Male,Widowed,2,Masters,emp_00409@company.com
EMP_00410,Female,Widowed,0,PhD,emp_00410@company.com
EMP_00411,Male,Divorced,1,Bachelors,emp_00411@company.com
EMP_00412,Female,Divorced,1,High School,emp_00412@company.com
EMP_00413,Female,Divorced,1,High School,emp_00413@company.com
EMP_00414,Male,Divorced,0,High School,emp_00414@company.com
EMP_00415,Male,Single,2,High School,emp_00415@company.com
EMP_00416,Male,Divorced,0,High School,emp_00416@company.com
EMP_00417,Male,Married,0,PhD,emp_00417@company.com
EMP_00418,Female,Married,0,Bachelors,emp_00418@company.com
EMP_00419,Male,Widowed,0,Masters,emp_00419@company.com
EMP_00420,Female,Widowed,2,Bachelors,emp_00420@company.com
EMP_00421,Male,Divorced,1,PhD,emp_00421@company.com
EMP_00422,Male,Single,0,High School,emp_00422@company.com
EMP_00423,Female,Divorced,3,PhD,emp_00423@company.com
EMP_00424,Male,Widowed,1,High School,emp_00424@company.com
EMP_00425,Male,Married,1,Bachelors,emp_00425@company.com
EMP_00426,Male,Married,2,High School,emp_00426@company.com
EMP_00427,Female,Divorced,0,Masters,emp_00427@company.com
EMP_00428,Male,Single,1,Bachelors,emp_00428@company.com
EMP_00429,Male,Single,2,Masters,emp_00429@company.com
EMP_00430,Male,Divorced,0,Masters,emp_00430@company.com
EMP_00431,Male,Divorced,2,Masters,emp_00431@company.com
EMP_00432,Female,Married,1,Bachelors,emp_00432@company.com
EMP_00433,Female,Widowed,1,Bachelors,emp_00433@company.com
EMP_00434,Male,Widowed,1,Bachelors,emp_00434@company.com
EMP_00435,Female,Widowed,0,High School,emp_00435@company.com
EMP_00436,Male,Widowed,3,Bachelors,emp_00436@company.com
EMP_00437,Male,Single,4,Bachelors,emp_00437@company.com
EMP_00438,Female,Single,1,Masters,emp_00438@company.com
EMP_00439,Other,Divorced,0,Bachelors,emp_00439@company.com
EMP_00440,Female,Married,0,Bachelors,emp_00440@company.com
EMP_00441,Female,Married,0,High School,emp_00441@company.com
EMP_00442,Female,Single,0,Bachelors,emp_00442@company.com
EMP_00443,Female,Married,3,High School,emp_00443@company.com
EMP_00444,Female,Divorced,1,Bachelors,emp_00444@company.com
EMP_00445,Female,Widowed,0,Bachelors,emp_00445@company.com
EMP_00446,Male,Widowed,0,Bachelors,emp_00446@company.com
EMP_00447,Male,Divorced,1,Bachelors,emp_00447@company.com
EMP_00448,Male,Widowed,1,Bachelors,emp_00448@company.com
EMP_00449,Female,Widowed,1,Bachelors,emp_00449@company.com
EMP_00450,Male,Married,0,Masters,emp_00450@company.com
EMP_00451,Male,Single,0,High School,emp_00451@company.com
EMP_00452,Female,Widowed,1,High School,emp_00452@company.com
